iter	MAE
0	0.05282306792
1	0.05221669691
2	0.0516487034
3	0.05111100988
4	0.0505660704
5	0.05004892113
6	0.04961900707
7	0.04921058872
8	0.04876058001
9	0.04839198243
10	0.04804153766
11	0.0476808022
12	0.04736477587
13	0.04701356621
14	0.04667975014
15	0.04640879707
16	0.04610553934
17	0.04581068107
18	0.04555476851
19	0.04533407554
20	0.04512441721
21	0.0449252418
22	0.04473602517
23	0.04451573754
24	0.04430036809
25	0.04411846925
26	0.04396435111
27	0.04381793888
28	0.0436605268
29	0.04352838978
30	0.04336850716
31	0.04323162514
32	0.04311833416
33	0.04297882685
34	0.04287658174
35	0.04277944888
36	0.04268717268
37	0.04256944324
38	0.04245171948
39	0.04237260416
40	0.04226446299
41	0.04219306142
42	0.04209946616
43	0.04203502624
44	0.04197380832
45	0.04191555895
46	0.04184712472
47	0.04179463801
48	0.04174477562
49	0.04169740636
50	0.04164071329
51	0.04159796253
52	0.04154561108
53	0.04150702852
54	0.04144742914
55	0.04141260838
56	0.04137952866
57	0.0413265994
58	0.04127648865
59	0.04122917262
60	0.04120222897
61	0.04117663251
62	0.04115222814
63	0.04112912734
64	0.04108348936
65	0.04106264089
66	0.04103433686
67	0.04101542876
68	0.0409975538
69	0.04096349046
70	0.04094735831
71	0.04091568741
72	0.04090112814
73	0.04087999173
74	0.040859613
75	0.04084713025
76	0.04083527163
77	0.04082400595
78	0.04081186638
79	0.0408016991
80	0.04077741164
81	0.04076823567
82	0.04075942615
83	0.04074450463
84	0.04073663738
85	0.0407291635
86	0.04070355012
87	0.04068023042
88	0.0406738225
89	0.04066773497
90	0.04065932645
91	0.04065383245
92	0.04064861316
93	0.04063144533
94	0.0406152133
95	0.04061073841
96	0.04060129981
97	0.04059726122
98	0.04058875092
99	0.0405752066
100	0.04056172986
101	0.04055436922
102	0.04055124424
103	0.0405351039
104	0.04052877155
105	0.04052609227
106	0.04052354695
107	0.0405211289
108	0.0405105998
109	0.04050841751
110	0.04050634434
111	0.04050115098
112	0.04049927994
113	0.04049750245
114	0.04049572149
115	0.0404941173
116	0.04048006567
117	0.04047086378
118	0.04046085834
119	0.04045955171
120	0.04045821808
121	0.04045695551
122	0.04044516747
123	0.04043715416
124	0.04042592268
125	0.04042274887
126	0.04042183179
127	0.04042096496
128	0.04042014147
129	0.04041935915
130	0.04041861594
131	0.04041211498
132	0.04041144423
133	0.04040519339
134	0.04040458805
135	0.04040401297
136	0.04040153624
137	0.0404009295
138	0.04039837254
139	0.04039790414
140	0.04039745916
141	0.04039523692
142	0.04039317751
143	0.04039279599
144	0.04039243356
145	0.04039208924
146	0.04039176214
147	0.04039145139
148	0.04038247752
149	0.04037392619
150	0.04036905849
151	0.04036880538
152	0.04036720406
153	0.04036697563
154	0.04036268277
155	0.04035860437
156	0.04035840853
157	0.04035150238
158	0.04035132564
159	0.04034754412
160	0.04034110614
161	0.0403409546
162	0.04033958245
163	0.04033851601
164	0.04033838609
165	0.04033818348
166	0.04033719176
167	0.04033113405
168	0.04033009632
169	0.04032416789
170	0.04032407239
171	0.04032398165
172	0.04032009254
173	0.04032001065
174	0.04031993286
175	0.04031741001
176	0.0403173398
177	0.04031727315
178	0.04031213126
179	0.04031127487
180	0.0403112177
181	0.0403088927
182	0.04030784608
183	0.04030552521
184	0.04030499562
185	0.04030495144
186	0.04030490947
187	0.0403048696
188	0.04030263681
189	0.0403021408
190	0.04030038872
191	0.04030035634
192	0.04030032554
193	0.04030022097
194	0.04030019327
195	0.04030015824
196	0.04029832856
197	0.04029664404
198	0.04029244888
199	0.04029242753
200	0.04029091479
201	0.04028953908
202	0.04028952051
203	0.04028943148
204	0.04028941505
205	0.04028812172
206	0.0402844027
207	0.04028097246
208	0.04028095904
209	0.04028065752
210	0.04028064564
211	0.04027966154
212	0.04027965046
213	0.04027963997
214	0.04027935882
215	0.04027696632
216	0.04027695736
217	0.04027694903
218	0.04027675691
219	0.04027674977
220	0.04027674237
221	0.0402767357
222	0.04027672965
223	0.04027672311
224	0.0402766494
225	0.04027664399
226	0.04027645357
227	0.04027644868
228	0.04027644431
229	0.04027643934
230	0.04027643484
231	0.04027643086
232	0.04027555506
233	0.0402755515
234	0.04027554817
235	0.04027548049
236	0.04027547748
237	0.04027547448
238	0.04027547143
239	0.0402754688
240	0.04027546608
241	0.04027546371
242	0.04027546175
243	0.04027536683
244	0.04027536471
245	0.0402753632
246	0.04027536141
247	0.04027535964
248	0.04027535799
249	0.04027535693
250	0.04027535496
251	0.0402753535
252	0.04027535227
253	0.04027535114
254	0.04027535006
255	0.04027528785
256	0.0402752865
257	0.04027528522
258	0.04027528418
259	0.04027528335
260	0.04027528268
261	0.04027528156
262	0.04027528091
263	0.04027527995
264	0.04027527923
265	0.04027527867
266	0.04027527809
267	0.04027527765
268	0.0402752774
269	0.04027443372
270	0.04027364655
271	0.04027293227
272	0.04027235059
273	0.04027235039
274	0.04027057372
275	0.04027057356
276	0.04026887064
277	0.0402688621
278	0.040268159
279	0.04026815594
280	0.04026597497
281	0.04026448742
282	0.04026448569
283	0.04026446488
284	0.04026353342
285	0.04026353235
286	0.04026352907
287	0.04026352907
288	0.04026352828
289	0.04026352003
290	0.04026351901
291	0.04026351816
292	0.04026345961
293	0.04026345788
294	0.04026345681
295	0.04026345565
296	0.04026345472
297	0.04026345472
298	0.04026345323
299	0.04026345323
